MOD Ref No,Name,Address,Town,County,Area Hectares,Grid Ref,Expected Planning Use,Potential Housing Capacity,Constituency,Financial Year
2002,Sussex Volunteer Estate - St Leonards Cadet Centre (St Leonards TAC),Cinque Ports Way,St Leonards-on-Sea,East Sussex,0.35,578478 108703,Mixed,0,Hastings,2014
2004,Aldershot Urban Extension Sites - Phased,Various,Aldershot,Hampshire,150,Various,Mixed,3850,Aldershot,2013
2006,Defence School of Languages - DSL Beaconsfield               Beaconsfield SFA - Maude Road Area                   Beaconsfield SFA - Dupre Rd Area                                ,Minerva Way,Beaconsfield,Buckinghamshire,40.73,495953 190340,Housing,330,South Bucks,2014
2007,Princess Royal Barracks - Princess Royal Barracks Disposal (DTR Deepcut Barracks) - Phased,Princess Royal Bks,Deepcut,Surrey,112,490662 157699,Housing,1200,Surrey Heath,2017
2008,Arborfield - Phased,Biggs Lane,Arborfield,Berkshire,150.73,477240 165987,Mixed,2000,Wokingham,2017
2012,Lodge Hill - Training Area - Phased,"Lodge Hill Training Area, Chattenden",Rochester,Kent,320,576414 173915,Mixed,4500,Rochester & Strood,2017
2014,Lower Upnor Depot - RSME Chatham - Lower Upnor Depot,Lower Upnor,Rochester,Kent,3.89,575713 170795,Mixed,23,Rochester & Strood,2013
2016,Kitchener Barracks - Kitchener Barracks (Dock Road),"Kitchener Barracks, Dock Road",Chatham,Kent,4.76,575897 168546,Housing,80,Rochester & Strood,2014
2017,West Malling Camp - RSME Chatham (West Malling Camp),Teston Road,West Malling,Kent,6.09,568746 155014,Housing,30,Tonbridge & Malling,2013
2020,Sussex Volunteer Estate - Littlehampton ACF,47 Pier Road,Littlehampton,West Sussex,0.3,502700 101700,Mixed,3,Arun DC,2014
2024,DMC Gosport - Frater House & Sportsground ,Fareham Road,Gosport,Hampshire,4.74,459430 102214,Mixed,0,Gosport,2014
2028,Mount Wise - Coleridge Training Area Residential,Star Lane,Plymouth,Devon,4.99,249339 058835,Housing,100,City of Plymouth,2013
2030,DMC Dean Hill - DMC Dean Hill (Land Sale to Gibbs Successors),Dean Hill,West Dean,Hampshire,2.15,426100 126500,Leisure/ Recreation,0,Test Valley,2015
2035,Bulford Garrison Misc (part) - Ward Green (Garages),Sling Road,Bulford,Wiltshire,0.01,418919 144536,Other,0,Salisbury,2013
2038,Tidworth Garrison Misc - Zouch Market,Tidworth Garrison,Tidworth,Wiltshire,1.94,423279 149022,Mixed,5,Kennet,2013
2039,RAF Rudloe Manor - Number 2 Site (RAF Rudloe Manor),Westwells Rd,Corsham,Wiltshire,7.89,384382 168952,Mixed,100,North Wiltshire,2013
2048,Minley Manor - Minley Manor,Minley Road,Minley,Hampshire,33.53,482244 158092,Mixed,50,Aldershot,2014
2051,Rudloe Manor - Number 2 site (Agricultural Land - Kidston),Bradford Road,Corsham,Wiltshire,0,384384 906242,Agricultural,0,North Wiltshire,2013
2054,Old War Office - Old War Office,Whitehall,Westminster,City of London,1.02,530182 180169,Office,0,Cities of London and Westminster,2015
2059,Chilcombe Range - Land by Manor House Farm (Part - Sale to Tenant farmer),High Street,Barton Stacey,Hampshire,23.39,141539 443873,Agricultural,0,Romsey & Southampton North,2013
2062,DSDA Plymouth - DMC Plymouth (part-Ernesettle farmhouse + land),The Parkway,"Ernesettle, Plymouth",Devon,1.35,244633 058860,Agricultural,0,Plymouth Moor View,2013
2063,ISS Basil Hill - Basil Hill Barracks (Pockeridge House),Hudswell Lane,Corsham,Wiltshire,1.79,385581 169523,Housing,6,North Wiltshire,2014
2067,ISS Basil Hill - Basil Hill Barracks (The Circus),Peel Circus,Corsham,Wiltshire,8.6,385518 169843,Leisure/ Recreation,0,North Wiltshire,2014
2070,Aldershot Garrison Misc - Talavera School,Gunhill,Aldershot,Hampshire,2.84,486491 151040,Other,0,Aldershot,2014
2096,Salisbury Plain training Area  - SPTC West (part) Cherry Tree Cottage,Cherry Tree Cottage,Everleigh,Wiltshire,0.06,419000 154731,Housing,1,Devizes,2013
2100,Salisbury Plain training Area  - Gunville Gunville Cottage,266 Figheldean,Salisbury,Wiltshire,0.25,415762 146384,Housing,1,Devizes,2013
2104,Salisbury Plain training Area  - SPTC - West (part) 28 North Farm Cottage,Norton Bavant,Warminster,Wiltshire,0.08,391472 144720,Housing,1,South West Wiltshire,2013
2108,Salisbury Plain training Area  - Rollestone Camp (part) 54 Rollestone Crossroads,Crossroads,Rollestone,Wiltshire,0.12,409655 144637,Housing,1,Salisbury,2013
2109,Salisbury Plain training Area  - SPTC Middle (part) St Joan Gore Farnhouse,West Lavington,Devizes,Wiltshire,0.26,401246 150338,Housing,1,Devizes,2013
2111,Salisbury Plain training Area  - Ablington Farm North (part) Ablington Youth Club,Salisbury Plain,Ablington,Wiltshire,0.09,415757 146857,Leisure/ Recreation,0,Devizes,2013
2112,Salisbury Plain training Area  - Tilshead Chitterne & Copehill (part) John Deere Dealership,Salisbury Plain,Tilshead,Wiltshire,0.03,403560 147349,Agricultural,0,Salisbury,2013
2121,Larkhill Garrison - Land off Biddulph Rd (land adjacent Rangers garage/ bungalow),The Packway,Larkhill,Wiltshire,0.09,414283 144101,Other,0,Devizes,2013
2122,Old Park Training Area - Old Park Training Area (part - Canterbury Golf Club),Littlebourne Rd,Canterbury,Kent,83.37,617177 157902,Other,0,Canterbury,2013
2124,RM Turnchapel - RM Turnchapel,Bovingdon Terrace,Turnchapel,Devon,6.44,249612 053210,Mixed,20,South West Devon,2013
2125,Salisbury Plain training Area - Salisbury Plain Training Area (part - The Old Smithy),Middleton Farm (Part - The Old Smithy),Norton Bavant,Wiltshire,0.22,390708 144438,Housing,0,South West Wiltshire,2013
2128,Louisberg Barracks and Bordon SFA - Louisberg Barracks and Amherst House,Station Rd,Bordon,Hampshire,17.25,479543 136618,Housing,435,East Hampshire,2013
2130,JSCS Ashchurch - JSCS Ashchurch,A46,Ashchurch,Gloucestershire,0,393190 233514,Mixed,2100,Tewkesbury,2014
2131,Islington Volunteer Estate - TAC Islington,65-69 Parkhurst Road,London,Greater London,0.58,530290 185900,Housing,147,Islington North,2013
2137,Risborough Bks - Main Site Folkestone - Phased,Shorncliffe Garrison,Shorncliffe,Kent,10.71,136291 619470,Mixed,1200,Folkestone & Hythe,2013
2167,TAC Brompton Road,Brompton Rd,London,City of London,0.1,527214 179165,Mixed,20,Kensington,2013
2171,Salisbury Plain Training Area (part-Middleton Cottage),"Middleton Cottage, North Road",Norton Bavant,Wiltshire,0.1,390865 144335,Housing,1,South West Wiltshire,2013
2172,Twigworth Boxer Site (NO DPG CODE),Land adj to driveway to Wallsworth Hall,Twigworth,Gloucestershire,0.11,384543 222441,Agricultural,0,Tewkesbury,2014
2176,Salisbury Plain Training Area/Salisbury Plain Middle (Part - Tilshead recreation ground),Candown Rd,Tilshead,Wiltshire,0.4,403700 147950,Leisure/ Recreation,0,Salisbury,2014
2267,Bordon - Phased,Bordon Garrison,Bordon,Hampshire,0,479160 135700,Mixed,3465,East Hampshire,2021
2271,Howe Barracks/Howe Barracks (part - Villiers Rd land),Land at Villiers Rd,Canterbury,Kent,0.01,616983 157917,Other,0,Canterbury,2013
2273,RMA Sandhurst/Royal Military Academy(part - land adjacent St Michael's Church),London Road,Camberley,Surrey,0.47,486389 160428,Other,0,Surrey Heath,2013
2274,Syrencot House,"Syrencot House, Milston Rd",Milston,Wiltshire,1.95,416151 146166,Housing,1,Devizes,2013
2277,Salisbury Plain Training Area - West Everleigh Down (Part-garden land adjacent to Beekeepers Cottage(1109 Lower Everleigh)),Garden land adjacent to Beekeepers Cottage,Lower Everleigh,Wiltshire,0.05,419031 154711,Other,0,Devizes,2014
2278,Salisbury Plain Training Area - Salisbury Plain West (Part - woodland at Erlestoke),Woodland,Erlestoke,Wiltshire,2.3,396377 153818,Other,0,Devizes,2013
2279,Salisbury Plain Training Area - West Everleigh Down (Part - 1105 Lower Everleigh),1105,Lower Everleigh,Wiltshire,0.23,419035 154750,Housing,1,Devizes,2013
2281,Rudloe Manor - Number 2 site (Agricultural Land - Bishop),Bradford Rd,Corsham,Wiltshire,0,"384416 , 169078",Agricultural,0,North Wiltshire,2013
2284,Brompton Barracks - RSME Chatham Sportsground (part - Church Hall),"Church Hall, Maxwell Rd",Chatham,Kent,0.06,168575 576200,Other,0,Rochester & Strood,2013
2287,Chilcombe Range (Barton Stacey plot 1) - Land by Manor House Farm (amenity land by school),Off Roberts Rd,Barton Stacey,Hampshire,0.21,"444176 , 141378",Other,0,Romsey & Southampton North,2013
2288,Chilcombe Range (Barton Stacey plot 1) - Land by Manor House Farm (playing field),Off Roberts Rd,Barton Stacey,Hampshire,1.29,"444078 , 141444",Leisure/ Recreation,0,Romsey & Southampton North,2013
2303,Bicester Graven Hill (part). St David's Barracks/St David's Barracks (part).  ,A.41,Bicester,Oxfordshire,207.23,459043 221063,Mixed,1900,Banbury,2013
2323,LTPA Boscombe Down/Airfield Site (part - Bldg 781 + track),Bldg 781,Boscombe Down,Wiltshire,0.05,418691 139083,Agricultural,0,Salisbury,2013
2325,HMS Excellent/Horsea Island (part- eastern end outside security fence),Horsea Island,Portsmouth,Hampshire,6.36,464060 104026,Other,0,Portsmouth North,2014
2326,Howe Barracks - Howe Barracks                                                         Howe Barracks - Land and buildings at Schindler Road                       Old Park Training Area - Old Park Training Area (part),Littlebourne Rd,Canterbury,Kent,21.99,616524 157965,Mixed,500,Canterbury,2014
2347,Longmoor Camp/Land between Knockhundred and Hammers Lanes NE part of P2 (part-land required for Hindhead Tunnel),Hammer Lane,Bramshott Chase,Hampshire,0,487225 133912,Other,0,East Hampshire,2013
2364,Wandsworth Volunteer Estate - St John's Hill TAC,St John's Hill,Battersea,Greater London,0.43,527239 175324,Housing,20,Battersea,2014
2365,Lambeth Volunteer Estate - Clapham TAC,Kings Ave,Clapham,Greater London,1.34,530117 174607,Housing,50,Streatham,2014
2366,Havering Volunteer Estate - Romford TAC,London Rd,Romford,Essex,1.02,549940 188457,Housing,30,Romford,2014
2367,Isle of Wight Volunteer Estate - Newport TAC,Drill Hall Rd,Newport,Isle of Wight,1.78,449532 089007,Housing,30,Isle of Wight,2014
2368,Surrey Volunteer Estate - Redhill TAC,Batts Hill,Redhill,Surrey,0,527200 150600,Housing,10,Reigate,2014
2369,Oxfordshire Volunteer Estate - Henley-on-Thames ACF (RMR Henley),Friday St,Henley,Oxfordshire,2,476248 182487,Housing,20,Henley,2014
2370,Bristol & Avon Volunteer Estate - Dorset House,"Litfield Place, Clifton",Bristol,Avon,2.7,356647 173418,Housing,2,Bristol West,2014
2371,Salisbury SFA - Land north of Manor Farm Rd,"Manor Farm Rd, Ford",Salisbury,Wiltshire,0.5,415752 133058,Other,0,Salisbury,2014
2372,Salisbury SFA - Land opposite Ford House,"Green Lane, Ford",Salisbury,Wiltshire,0.17,415823 132861,Other,0,Salisbury,2014
